Model,rmv_inf_grad,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained,Acc_class_0,Acc_class_1
Eff_b4,False,2,0.8553719008264463,0.779529214514777,0.8016958353798826,0.7895594081272085,0.894892100176075,0.10201016988683087,12,0.8938207136640557,0.7095709570957096
Eff_b4,False,3,0.8505509641873278,0.7728623282343791,0.8022947203336521,0.7856429982114466,0.8846780239381641,0.10447006297039751,13,0.8851174934725848,0.7194719471947195
Eff_b4,False,4,0.8657024793388429,0.7938122332859175,0.8203732905927669,0.8056765187312764,0.9046178769312962,0.09975866158176729,13,0.8981723237597912,0.7425742574257426
Eff_b4,False,5,0.8601928374655647,0.7860227272727274,0.8181070065231066,0.7999069985303052,0.8996774351064349,0.09740233341340326,14,0.8903394255874674,0.7458745874587459
Eff_b5,True,1,0.9201101928374655,0.8790510904876389,0.8790510904876389,0.8790510904876389,0.9406831022527841,0.02308590333207187,13,0.9495213228894691,0.8085808580858086
Eff_b5,True,2,0.9146005509641874,0.869012732631722,0.8743547984041224,0.8716421996372721,0.9497712173306104,0.01937377108936189,13,0.9434290687554395,0.8052805280528053
Eff_b5,True,3,0.9159779614325069,0.8752999428680251,0.8679350963817007,0.8715405790333202,0.9456608846263216,0.02771616230648985,12,0.9503916449086162,0.7854785478547854
Eff_b5,True,4,0.9118457300275482,0.8715377368365959,0.8568191022757629,0.8638676882059095,0.9433457706083925,0.027421548590177224,13,0.9512619669277633,0.7623762376237624
Eff_b5,True,5,0.918732782369146,0.8847017635564092,0.8636007203853544,0.8735415682569674,0.9416022542202002,0.03119071946164071,12,0.95822454308094,0.768976897689769
Eff_b5,False,1,0.9173553719008265,0.8720221482327135,0.880955458470129,0.8763736263736264,0.9572335823660696,0.01878991482305449,15,0.9434290687554395,0.8184818481848185
Eff_b5,False,2,0.9249311294765841,0.8880549707466298,0.8833122215615818,0.8856530185976044,0.9489640870092231,0.02772925746864836,11,0.9547432550043516,0.8118811881188119
Eff_b5,False,3,0.9180440771349863,0.8824341597530387,0.8643805633827091,0.8729573796816215,0.9470597190267329,0.038195969169003384,9,0.9564838990426457,0.7722772277227723
Eff_b5,False,4,0.9214876033057852,0.881781261996646,0.879921412506786,0.8808465303771955,0.9475566355591173,0.027270376620795362,10,0.9512619669277633,0.8085808580858086
Eff_b5,False,5,0.9276859504132231,0.8945205479452054,0.8838378615929479,0.8890275902478791,0.9510407959856038,0.020239063739585554,13,0.959094865100087,0.8085808580858086
RGy8,True,1,0.9070247933884298,0.8521505376344086,0.8792880593542383,0.8645648726797873,0.9437593889937297,0.06154145417792188,17,0.9268929503916449,0.8316831683168316
RGy8,True,2,0.9015151515151515,0.8450354991394148,0.8685167472360813,0.8558898956493374,0.9382961794874004,0.051748973076471354,14,0.9251523063533508,0.8118811881188119
RGy8,True,3,0.9049586776859504,0.8536943173626325,0.8621875242354522,0.8578296703296704,0.9409243796442307,0.06416638018755624,11,0.9355961705831157,0.7887788778877888
RGy8,True,4,0.9139118457300276,0.8661748974861829,0.8775646494153332,0.8716783970758228,0.9415448072222365,0.06908283677545866,10,0.9399477806788512,0.8151815181518152
RGy8,True,5,0.9090909090909091,0.8545428523722062,0.8842385544037432,0.8680185428493518,0.9403728884637812,0.06385470976547869,11,0.9268929503916449,0.8415841584158416
